date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
2017-10-11,112.36,112.59,112.08,112.44
2017-10-10,112.67,112.83,112,112.36
2017-10-09,112.69,112.75,112.32,112.67
2017-10-06,112.81,113.44,112.61,112.69
2017-10-05,112.75,112.92,112.41,112.81
2017-10-04,112.86,112.94,112.33,112.75
2017-10-03,112.75,113.2,112.64,112.86
2017-10-02,112.56,113.06,112.44,112.75
2017-09-29,112.35,112.74,112.21,112.56
2017-09-28,112.86,113.2,112.25,112.35
2017-09-27,112.25,113.27,112.21,112.86
2017-09-26,111.73,112.48,111.5,112.25
2017-09-25,111.98,112.53,111.47,111.73
2017-09-22,112.47,112.56,111.66,111.98
2017-09-21,112.21,112.72,112.13,112.47
2017-09-20,111.58,112.53,111.11,112.21
2017-09-19,111.56,111.89,111.19,111.58
2017-09-18,110.88,111.67,110.88,111.56
2017-09-15,110.22,111.33,109.55,110.88
2017-09-14,110.48,111.03,110.08,110.22
2017-09-13,110.19,110.7,109.92,110.48
2017-09-12,109.42,110.27,109.25,110.19
2017-09-11,108.2,109.52,108.14,109.42
2017-09-08,108.45,108.5,107.33,108.2
2017-09-07,109.23,109.28,108.06,108.45
2017-09-06,108.81,109.41,108.45,109.23
2017-09-05,109.73,109.84,108.64,108.81
2017-09-04,109.4,109.94,109.31,109.73
2017-09-01,109.97,110.42,109.56,109.4
2017-08-31,110.25,110.67,109.89,109.97
2017-08-30,109.75,110.44,109.53,110.25
2017-08-29,109.27,109.91,108.27,109.75
2017-08-28,109.26,109.42,109.03,109.27
2017-08-25,109.56,109.86,109.11,109.26
2017-08-24,109.06,109.61,108.83,109.56
2017-08-23,109.56,109.83,108.92,109.06
2017-08-22,108.97,109.65,108.87,109.56
2017-08-21,109.34,109.43,108.62,108.97
2017-08-18,109.58,109.61,108.61,109.34
2017-08-17,110.2,110.37,109.43,109.58
2017-08-16,110.67,110.95,110.02,110.2
2017-08-15,109.64,110.86,109.59,110.67
2017-08-14,109.05,109.81,109.01,109.64
2017-08-11,109.19,109.44,108.73,109.05
2017-08-10,110.06,110.19,109.13,109.19
2017-08-09,110.29,110.39,109.53,110.06
2017-08-08,110.72,110.83,110.22,110.29
2017-08-07,110.6,110.92,110.6,110.72
2017-08-04,110.02,111.06,109.82,110.6
2017-08-03,110.69,110.84,109.84,110.02
2017-08-02,110.34,111,110.27,110.69
2017-08-01,110.24,110.59,109.91,110.34
2017-07-31,110.63,110.78,110.18,110.24
2017-07-28,111.26,111.34,110.53,110.63
2017-07-27,111.15,111.73,110.75,111.26
2017-07-26,111.87,112.2,111.04,111.15
2017-07-25,111.07,111.96,110.8,111.87
2017-07-24,111.05,111.31,110.6,111.07
2017-07-21,111.9,112.09,110.98,111.05
2017-07-20,111.96,112.43,111.46,111.9
2017-07-19,112.06,112.25,111.53,111.96
2017-07-18,112.61,112.72,111.66,112.06
2017-07-17,112.49,112.88,112.3,112.61
2017-07-14,113.26,113.6,112.24,112.49
2017-07-13,113.15,113.53,112.85,113.26
2017-07-12,113.92,113.98,112.9,113.15
2017-07-11,114.03,114.51,113.7,113.92
2017-07-10,113.96,114.3,113.84,114.03
2017-07-07,113.18,114.19,113.07,113.96
2017-07-06,113.25,113.48,112.87,113.18
2017-07-05,113.26,113.69,112.8,113.25
2017-07-04,113.36,113.48,112.71,113.26
2017-07-03,112.12,113.48,111.92,113.36
2017-06-30,112.16,112.62,111.71,112.12
2017-06-29,112.29,112.94,111.79,112.16
2017-06-28,112.34,112.43,111.81,112.29
2017-06-27,111.86,112.47,111.44,112.34
2017-06-26,111.1,111.94,111.1,111.86
2017-06-23,111.32,111.45,111.13,111.1
2017-06-22,111.34,111.45,110.92,111.32
2017-06-21,111.44,111.73,111.04,111.34
2017-06-20,111.5,111.81,111.28,111.44
2017-06-19,110.82,111.61,110.73,111.5
2017-06-16,110.9,111.44,110.62,110.82
2017-06-15,109.54,111,109.25,110.9
